Company Name,BSE id,NSE id
Alembic Pharmaceuticals Limited,APLLTD,
Apollo Hospitals Enterprise Limited,APOLLOHOSP,
Apollo Tyres Limited,APOLLOTYRE,
Apollo Sindoori Hotels Limited,APOLSINHOT,
Aptech Limited,APTECHT,
Archidply Industries Limited,ARCHIDPLY,
Archies Limited,ARCHIES,
Arcotech Limited,ARCOTECH,
Aries Agro Limited,ARIES,
Arihant Foundations & Housing Limited,ARIHANT,
Aro Granite Industries Limited,AROGRANITE,
Arrow Coated Products Limited,ARROWCOAT,
Arrow Textiles Limited,ARROWTEX,
Arshiya Limited,ARSHIYA,ARSHIYA
ARSS Infrastructure Projects Limited,ARSSINFRA,
Arvind Limited,ARVIND,
Arvind Infrastructure Limited,ARVINFRA,
Asahi India Glass Limited,ASAHIINDIA,
Asahi Songwon Colors Limited,ASAHISONG,
Automotive Stampings and Assemblies Limited,ASAL,
Ashapura Minechem Limited,ASHAPURMIN,
Ashiana Housing Limited,ASHIANA,
Ashima Limited,ASHIMASYN,
Ashoka Buildcon Limited,ASHOKA,
Ashok Leyland Limited,ASHOKLEY,
Asian Hotels (North) Limited,ASIANHOTNR,ASIANHOTNR
Asian Paints Limited,ASIANPAINT,
Asian Granito India Limited,ASIANTILES,
Amit Spinning Industries Limited,ASIL,
Assam Company India Limited,ASSAMCO,
Astec LifeSciences Limited,ASTEC,
Astral Poly Technik Limited,ASTRAL,
Astra Microwave Products Limited,ASTRAMICRO,
AstraZeneca Pharma India Limited,ASTRAZEN,
Agro Tech Foods Limited,ATFL,
Atlanta  Limited,ATLANTA,
Atlas Cycles (Haryana) Limited,ATLASCYCLE,
ATN International Limited,ATNINTER,
Atul Limited,ATUL,
Atul Auto Limited,ATULAUTO,
Aurionpro Solutions Limited,AURIONPRO,
Aurobindo Pharma Limited,AUROPHARMA,
Ausom Enterprise Limited,AUSOMENT,
Austral Coke & Projects Limited,AUSTRAL,
Automotive Axles Limited,AUTOAXLES,
Autoline Industries Limited,AUTOIND,
Autolite (India) Limited,AUTOLITIND,
Avanti Feeds Limited,AVANTIFEED,
AVT Natural Products Limited,AVTNPL,
Axis Bank Limited,AXISBANK,
AXISCADES Engineering Technologies Limited,AXISCADES,
AYM Syntex Limited,AYMSYNTEX,
Bafna Pharmaceuticals Limited,BAFNAPHARM,
B.A.G Films and Media Limited,BAGFILMS,
Bajaj Auto Limited,BAJAJ-AUTO,
Bajaj Corp Limited,BAJAJCORP,
Bajaj Electricals Limited,BAJAJELEC,
Bajaj Finserv Limited,BAJAJFINSV,
Bajaj Hindusthan Sugar Limited,BAJAJHIND,BAJAJHIND
Bajaj Holdings & Investment Limited,BAJAJHLDNG,
Bajaj Finance Limited,BAJFINANCE,BAJFINANCE
Balaji Telefilms Limited,BALAJITELE,
Balaji Amines Limited,BALAMINES,
Balkrishna Industries Limited,BALKRISIND,
Ballarpur Industries Limited,BALLARPUR,
Balmer Lawrie & Company Limited,BALMLAWRIE,
Bal Pharma Limited,BALPHARMA,
Balrampur Chini Mills Limited,BALRAMCHIN,
Banaras Beads Limited,BANARBEADS,
Bannari Amman Sugars Limited,BANARISUG,
Banco Products (I) Limited,BANCOINDIA,
Bang Overseas Limited,BANG,
Bank of Baroda,BANKBARODA,
Bank of India,BANKINDIA,
Banswara Syntex Limited,BANSWRAS,
Bartronics India Limited,BARTRONICS,
BASF India Limited,BASF,
Bannari Amman Spinning Mills Limited,BASML,
Bata India Limited,BATAINDIA,
Bayer Cropscience Limited,BAYERCROP,
Bharat Bijlee Limited,BBL,
Bombay Burmah Trading Corporation Limited,BBTC,
Beardsell Limited,BEARDSELL,
Bedmutha Industries Limited,BEDMUTHA,
Bharat Electronics Limited,BEL,
BEML Limited,BEML,
Bhansali Engineering Polymers Limited,BEPL,
Berger Paints (I) Limited,BERGEPAINT,
BF Investment Limited,BFINVEST,
BF Utilities Limited,BFUTILITIE,
Bharatiya Global Infomedia Limited,BGLOBAL,
BGR Energy Systems Limited,BGRENERGY,
Bhageria Industries Limited,BHAGERIA,
Bhagyanagar India Limited,BHAGYNAGAR,
Bharat Forge Limited,BHARATFORG,
Bharat Gears Limited,BHARATGEAR,
Bharati Defence and Infrastructure Limited,BHARATIDIL,
Bharat Rasayan Limited,BHARATRAS,
Bharat Wire Ropes Limited,BHARATWIRE,
Bharti Airtel Limited,BHARTIARTL,
Bharat Heavy Electricals Limited,BHEL,
Bhushan Steel Limited,BHUSANSTL,
Bhartiya International Limited,BIL,
Bil Energy Systems Limited,BILENERGY,
Bilpower  Limited,BILPOWER,
Binani Industries Limited,BINANIIND,
Oswal Chemicals & Fertilizers Limited,BINDALAGRO,
Biocon Limited,BIOCON,
Birla Corporation Limited,BIRLACORPN,
Birla Cotsyn (India) Limited,BIRLACOT,
Birla Ericsson Optical Limited,BIRLAERIC,
Aditya Birla Money Limited,BIRLAMONEY,
BLB Limited,BLBLIMITED,
Bliss GVS Pharma Limited,BLISSGVS,
B. L. Kashyap and Sons Limited,BLKASHYAP,
Blue Blends (I) Limited,BLUEBLENDS,
Blue Chip India Limited,BLUECHIP,
Blue Coast Hotels Limited,BLUECOAST,
Blue Dart Express Limited,BLUEDART,
Blue Star Limited,BLUESTARCO,
Blue Star Infotech Limited,BLUESTINFO,
Bodal Chemicals Limited,BODALCHEM,
Bombay Dyeing & Mfg Company Limited,BOMDYEING,
Bosch Limited,BOSCHLTD,
Bharat Petroleum Corporation Limited,BPCL,
BPL Limited,BPL,
Bombay Rayon Fashions Limited,BRFL,
Brigade Enterprises Limited,BRIGADE,
Britannia Industries Limited,BRITANNIA,
Broadcast Initiatives Limited,BROADCAST,
Brooks Laboratories Limited,BROOKS,
BSEL Infrastructure Realty Limited,BSELINFRA,
BSL Limited,BSL,
BS LIMITED,BSLIMITED,
Burnpur Cement Limited,BURNPUR,
Butterfly Gandhimathi Appliances Limited,BUTTERFLY,
Barak Valley Cements Limited,BVCL,
The Byke Hospitality Ltd,BYKE,
Cadila Healthcare Limited,CADILAHC,
Cairn India Limited,CAIRN,
California Software Company Limited,CALSOFT,
Camlin Fine Sciences Limited,CAMLINFINE,
Canara Bank,CANBK,
C & C Constructions Limited,CANDC,
Can Fin Homes Limited,CANFINHOME,
Cantabil Retail India Limited,CANTABIL,
Capital First Limited,CAPF,
Caplin Point Laboratories Limited,CAPLIPOINT,
Carborundum Universal Limited,CARBORUNIV,
Career Point Limited,CAREERP,
Credit Analysis And Research Limited,CARERATING,
Castex Technologies Limited,CASTEXTECH,
Castrol India Limited,CASTROLIND,
Consolidated Construction Consortium Limited,CCCL,
Country Club Hospitality & Holidays Limited,CCHHL,
CCL Products (India) Limited,CCL,
CEAT Limited,CEATLTD,
Commercial Engineers & Body Builders Co Limited,CEBBCO,
Celebrity Fashions Limited,CELEBRITY,
Celestial Biolabs Limited,CELESTIAL,CELESTIAL
Century Enka Limited,CENTENKA,
Century Extrusions Limited,CENTEXT,
Central Bank of India,CENTRALBK,
Centum Electronics Limited,CENTUM,
Century Plyboards (India) Limited,CENTURYPLY,
Century Textiles & Industries Limited,CENTURYTEX,
Cera Sanitaryware Limited,CERA,
Cerebra Integrated Technologies Limited,CEREBRAINT,
CESC Limited,CESC,
Capri Global Capital Limited,CGCL,CGCL
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,
Chemfab Alkalis Limited,CHEMFALKAL,
Chennai Petroleum Corporation Limited,CHENNPETRO,
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,
Chromatic India Limited,CHROMATIC,
Cigniti Technologies Limited,CIGNITITEC,
Cimmco Limited,CIMMCO,
Cineline India Limited,CINELINE,CINELINE
Cinevista Limited,CINEVISTA,
Cipla Limited,CIPLA,
Clariant Chemicals (India) Limited,CLNINDIA,
CIL Nova Petrochemicals Limited,CNOVAPETRO,
Coal India Limited,COALINDIA,
Coffee Day Enterprises Limited,COFFEEDAY,
Colgate Palmolive (India) Limited,COLPAL,
Compucom Software Limited,COMPUSOFT,
Container Corporation of India Limited,CONCOR,
Consolidated Finvest & Holdings Limited,CONSOFINVT,
Cords Cable Industries Limited,CORDSCABLE,
Coromandel International Limited,COROMANDEL,
Corporation Bank,CORPBANK,
Cosmo Films Limited,COSMOFILMS,
Country Condo's Limited,COUNCODOS,
Cox & Kings Limited,COX&KINGS,
Creative Eye Limited,CREATIVEYE,
Crest Ventures Limited,CREST,
CRISIL Limited,CRISIL,
Crompton  Greaves Limited,CROMPGREAV,
Cambridge Technology Enterprises Limited,CTE,
City Union Bank Limited,CUB,
Cubex Tubings Limited,CUBEXTUB,
Cummins India Limited,CUMMINSIND,
Cura Technologies Limited,CURATECH,
Cyber Media (India) Limited,CYBERMEDIA,
Cybertech Systems And Software Limited,CYBERTECH,
Cyient Limited,CYIENT,CYIENT
LT Foods Limited,DAAWAT,
Dabur India Limited,DABUR,
Dalmia Bharat Limited,DALMIABHA,
Dalmia Bharat Sugar and Industries Limited,DALMIASUG,
Datamatics Global Services Limited,DATAMATICS,
D.B.Corp Limited,DBCORP,
D B Realty Limited,DBREALTY,
DB (International) Stock Brokers Limited,DBSTOCKBRO,
DCB BANK LIMITED,DCBBANK,
DCM  Limited,DCM,
DCM Shriram Limited,DCMSHRIRAM,DCMSHRIRAM
DCW Limited,DCW,
Deccan Cements Limited,DECCANCE,
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,
Deepak Nitrite Limited,DEEPAKNTR,
Deep Industries Limited,DEEPIND,
Delta Corp Limited,DELTACORP,
Delta Magnets Limited,DELTAMAGNT,
Den Networks Limited,DEN,
Dena Bank,DENABANK,
De Nora India Limited,DENORA,
Dhampur Sugar Mills Limited,DHAMPURSUG,
Dhanlaxmi Bank Limited,DHANBANK,DHANBANK
Dhanuka Agritech Limited,DHANUKA,
Dharani Sugars & Chemicals Limited,DHARSUGAR,
Dewan Housing Finance Corporation Limited,DHFL,
Dhunseri Investments Limited,DHUNINV,
Diamond Power Infra Ltd,DIAPOWER,
DIC India Limited,DICIND,
Dishman Pharmaceuticals and Chemicals Limited,DISHMAN,
Dish TV India Limited,DISHTV,
Divi's Laboratories Limited,DIVISLAB,
DLF Limited,DLF,
D-Link (India) Limited,DLINKINDIA,
Dolphin Offshore Enterprises (India) Limited,DOLPHINOFF,
Donear Industries Limited,DONEAR,
Dhunseri Petrochem Limited,DPL,
DPSC Limited,DPSCLTD,
DQ Entertainment (International) Limited,DQE,
Dredging Corporation of India Limited,DREDGECORP,
Dr. Reddy's Laboratories Limited,DRREDDY,
DS Kulkarni Developers Limited,DSKULKARNI,
Dynacons Systems & Solutions Limited,DSSL,
Dhunseri Tea & Industries Limited,DTIL,
Duncans Industries Limited,DUNCANSLTD,
Dwarikesh Sugar Industries Limited,DWARKESH,
Dynamatic Technologies Limited,DYNAMATECH,
Dynacons Technologies Limited,DYNATECH,
Eastern Silk Industries Limited,EASTSILK,
Easun Reyrolle Limited,EASUNREYRL,
ECE Industries Limited,ECEIND,
eClerx Services Limited,ECLERX,
Edelweiss Financial Services Limited,EDELWEISS,
Empee Distilleries Limited,EDL,
Educomp Solutions Limited,EDUCOMP,
Eicher Motors Limited,EICHERMOT,
EID Parry India Limited,EIDPARRY,
EIH Associated Hotels Limited,EIHAHOTELS,
EIH Limited,EIHOTEL,
Eimco Elecon (India) Limited,EIMCOELECO,
Everest Kanto Cylinder Limited,EKC,
E-Land Apparel Limited,ELAND,ELAND
Elecon Engineering Company Limited,ELECON,
Electrosteel Castings Limited,ELECTCAST,
Electrotherm (India) Limited,ELECTHERM,
Elgi Equipments Limited,ELGIEQUIP,
Elgi Rubber Company Limited,ELGIRUBCO,
Emami Infrastructure Limited,EMAMIINFRA,
Emami Limited,EMAMILTD,
Emco Limited,EMCO,
Emkay Global Financial Services Limited,EMKAY,
Emmbi Industries Limited,EMMBI,
Energy Development Company Limited,ENERGYDEV,
Engineers India Limited,ENGINERSIN,
Entertainment Network (India) Limited,ENIL,
Entegra Limited,ENTEGRA,
Eon Electric Limited,EON,
Equitas Holdings Limited,EQUITAS,
Eros International Media Limited,EROSMEDIA,
Esab India Limited,ESABINDIA,
Escorts Limited,ESCORTS,
Electrosteel Steels Limited,ESL,
Essar Shipping Limited,ESSARSHPNG,
Ess Dee Aluminium Limited,ESSDEE,
Essel Propack Limited,ESSELPACK,
Ester Industries Limited,ESTER,
Euro Ceramics Limited,EUROCERA,
Euro Multivision Limited,EUROMULTI,
Eurotex Industries and Exports Limited,EUROTEXIND,
Eveready Industries India Limited,EVEREADY,
Everest Industries Limited,EVERESTIND,
Everonn Education Limited,EVERONN,
Excel Realty N Infra Limited,EXCEL,
Excel Crop Care Limited,EXCELCROP,
Excel Industries Limited,EXCELINDUS,
Exide Industries Limited,EXIDEIND,
Fertilizers and Chemicals Travancore Limited,FACT,
FAG Bearings India Limited,FAGBEARING,
Farmax India Limited,FARMAXIND,
Future Consumer Enterprise Limited,FCEL,FCEL
Fineotex Chemical Limited,FCL,
FCS Software Solutions Limited,FCSSOFT,
FDC Limited,FDC,
Fedders Lloyd Corporation Limited,FEDDERLOYD,
The Federal Bank  Limited,FEDERALBNK,
Fiem Industries Limited,FIEMIND,
Filatex India Limited,FILATEX,
Financial Technologies (India) Limited,FINANTECH,
Finolex Cables Limited,FINCABLES,
Finolex Industries Limited,FINPIPE,
First Winner Industries Limited,FIRSTWIN,
Flexituff International Limited,FLEXITUFF,
Future Lifestyle Fashions Limited,FLFL,
Federal-Mogul Goetze (India) Limited.,FMGOETZE,
Future Market Networks Limited,FMNL,
Fortis Healthcare Limited,FORTIS,
Foseco India Limited,FOSECOIND,
Future Retail Limited,FRLDVR,
Firstsource Solutions Limited,FSL,
Gabriel India Limited,GABRIEL,
Gujarat Ambuja Exports Limited,GAEL,
GAIL (India) Limited,GAIL,
Gyscoal Alloys Limited,GAL,
Gallantt Metal Limited,GALLANTT,
Gallantt Ispat Limited,GALLISPAT,
Gammon Infrastructure Projects Limited,GAMMNINFRA,
Gammon India Limited,GAMMONIND,
Gandhi Special Tubes Limited,GANDHITUBE,
Ganesha Ecosphere Limited,GANECOS,
Ganesh Housing Corporation Limited,GANESHHOUC,
Gangotri Textiles Limited,GANGOTRI,
Garden Silk Mills Limited,GARDENSILK,
Garware  Wall Ropes Limited,GARWALLROP,
GATI Limited,GATI,
Gayatri Projects Limited,GAYAPROJ,
Gateway Distriparks Limited,GDL,
GeeCee Ventures Limited,GEECEE,GEECEE
GEI Industrial Systems Limited,GEINDSYS,
Gemini Communication Limited,GEMINI,
Genesys International Corporation Limited,GENESYS,
Genus Paper & Boards Limited,GENUSPAPER,
Genus Power Infrastructures Limited,GENUSPOWER,
Geojit BNP Paribas Financial Services Limited,GEOJITBNPP,
Geometric Limited,GEOMETRIC,
The Great Eastern Shipping Company Limited,GESHIP,
GHCL Limited,GHCL,
GIC Housing Finance Limited,GICHSGFIN,
Gillanders Arbuthnot & Company Limited,GILLANDERS,
Gillette India Limited,GILLETTE,
Ginni Filaments Limited,GINNIFILA,
Gujarat Industries Power Company Limited,GIPCL,
GI Engineering Solutions Limited,GISOLUTION,
Gitanjali Gems Limited,GITANJALI,
GKW Limited,GKWLIMITED,
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,
Glenmark Pharmaceuticals Limited,GLENMARK,
Gujarat Lease Financing Limited,GLFL,
Global Vectra Helicorp Limited,GLOBALVECT,
Global Offshore Services Limited,GLOBOFFS,
Globus Spirits Limited,GLOBUSSPR,
GM Breweries Limited,GMBREW,
Gujarat Mineral Development Corporation Limited,GMDCLTD,
GMR Infrastructure Limited,GMRINFRA,
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,
Goa Carbon Limited,GOACARBON,
GOCL Corporation Limited,GOCLCORP,
Godfrey Phillips India Limited,GODFRYPHLP,
Godrej Consumer Products Limited,GODREJCP,
Godrej Industries Limited,GODREJIND,
Godrej Properties Limited,GODREJPROP,
Goenka Diamond and Jewels Limited,GOENKA,
Gokaldas Exports Limited,GOKEX,
Gokul Refoils and Solvent Limited,GOKUL,
Gokul Agro Resources Limited,GOKULAGRO,
Golden Tobacco Limited,GOLDENTOBC,
Goldiam International Limited,GOLDIAM,
Goldstone Infratech Limited,GOLDINFRA,
Goldstone Technologies Limited,GOLDTECH,
Good Luck Steel Tubes Limited,GOODLUCK,
Godawari Power And Ispat limited,GPIL,
Gujarat Pipavav Port Limited,GPPL,
Granules India Limited,GRANULES,
Graphite India Limited,GRAPHITE,
Grasim Industries Limited,GRASIM,
Gravita India Limited,GRAVITA,
Greaves Cotton Limited,GREAVESCOT,
Green Fire Agri Commodities Limited,GREENFIRE,
Greenlam Industries Limited,GREENLAM,
Greenply Industries Limited,GREENPLY,
Orient Green Power Company Limited,GREENPOWER,
Grindwell Norton Limited,GRINDWELL,
GRP Limited,GRPLTD,
Gruh Finance Limited,GRUH,
Gujarat Sidhee Cement Limited,GSCLCEMENT,
Gujarat State Fertilizers & Chemicals Limited,GSFC,
GlaxoSmithKline Consumer Healthcare Limited,GSKCONS,
Gujarat State Petronet Limited,GSPL,
GSS Infotech Limited,GSS,
GTL Limited,GTL,
GTL Infrastructure Limited,GTLINFRA,
GTN Industries Limited,GTNIND,
GTN Textiles Limited,GTNTEX,
GOL Offshore Limited,GTOFFSHORE,
Gufic Biosciences Limited,GUFICBIO,
Gujarat Alkalies and Chemicals Limited,GUJALKALI,
Gujarat Apollo Industries Limited,GUJAPOLLO,
Gujarat Fluorochemicals Limited,GUJFLUORO,
Gujarat Gas Limited,GUJGASLTD,
Gujarat NRE Coke Limited,GUJNREDVR,
Gulf Oil Lubricants India Limited,GULFOILLUB,
GP Petroleums Limited,GULFPETRO,GULFPETRO
Gulshan Polyols Limited,GULPOLY,
GVK Power & Infrastructure Limited,GVKPIL,
Hanung Toys and Textiles Limited,HANUNG,
Harita Seating Systems Limited,HARITASEAT,
Harrisons  Malayalam Limited,HARRMALAYA,
Hathway Cable & Datacom Limited,HATHWAY,
Hatsun Agro Product Limited,HATSUN,
Havells India Limited,HAVELLS,
HBL Power Systems Limited,HBLPOWER,
HB Stockholdings Limited,HBSTOCK,
Hindustan Construction Company Limited,HCC,
Healthcare Global Enterprises Limited,HCG,
Himadri Chemicals and Industries Limited,HCIL,
HCL Infosystems Limited,HCL-INSYS,
HCL Technologies Limited,HCLTECH,
Housing Development Finance Corporation Limited,HDFC,
HDFC Bank Limited,HDFCBANK,
Housing Development and Infrastructure Limited,HDIL,
HEG Limited,HEG,
HeidelbergCement India Limited,HEIDELBERG,
Hercules Hoists Limited,HERCULES,
Heritage Foods Limited,HERITGFOOD,HERITGFOOD
Hero MotoCorp Limited,HEROMOTOCO,
Hester Biosciences Limited,HESTERBIO,
Hexa Tradex Limited,HEXATRADEX,
Hexaware Technologies Limited,HEXAWARE,
Himachal Futuristic Communications Limited,HFCL,
Hinduja Global Solutions Limited,HGS,
Hikal Limited,HIKAL,
HIL Limited,HIL,
Hilton Metal Forging Limited,HILTON,
Himatsingka Seide Limited,HIMATSEIDE,
Hindalco Industries Limited,HINDALCO,
Hindustan Composites Limited,HINDCOMPOS,
Hindustan Copper Limited,HINDCOPPER,
Hindustan Dorr-Oliver Limited,HINDDORROL,
Hindustan Motors Limited,HINDMOTORS,
Hindusthan National Glass & Industries Limited,HINDNATGLS,
Hindustan Oil Exploration Company Limited,HINDOILEXP,
Hindustan Petroleum Corporation Limited,HINDPETRO,
Hind Syntex Limited,HINDSYNTEX,
Hinduja Foundries Limited,HINDUJAFO,
Hinduja Ventures Limited,HINDUJAVEN,
Hindustan Unilever Limited,HINDUNILVR,
Hindustan Zinc Limited,HINDZINC,
Hind Rectifiers Limited,HIRECT,
Hitachi Home and Life Solutions (India) Limited,HITACHIHOM,
The Hi-Tech Gears Limited,HITECHGEAR,
Hitech Plast Limited,HITECHPLAS,
HMT Limited,HMT,
Hindustan Media Ventures Limited,HMVL,
Hindustan Organic Chemicals Limited,HOCL,
Honeywell Automation India Limited,HONAUT,
Honda Siel Power Products Limited,HONDAPOWER,
Hotel Leela Venture Limited,HOTELEELA,
Hotel Rugby Limited,HOTELRUGBY,
HOV Services Limited,HOVS,
HSIL Limited,HSIL,
HT Media Limited,HTMEDIA,
Hubtown Limited,HUBTOWN,
Indiabulls Real Estate Limited,IBREALEST,
Indiabulls Housing Finance Limited,IBULHSGFIN,
Indiabulls Ventures Limited,IBVENTURES,IBVENTURES
Indiabulls Wholesale Services Limited,IBWSL,
ICICI Bank Limited,ICICIBANK,
Indo Count Industries Limited,ICIL,
ICRA Limited,ICRA,
ICSA (India) Limited,ICSA,
IDBI Bank Limited,IDBI,
Idea Cellular Limited,IDEA,
IDFC Limited,IDFC,
IDFC Bank Limited,IDFCBANK,
IFB Agro Industries Limited,IFBAGRO,
IFB Industries Limited,IFBIND,
IFCI Limited,IFCI,
IFGL Refractories Limited,IFGLREFRAC,
Igarashi Motors India Limited,IGARASHI,
Indraprastha Gas Limited,IGL,
IG Petrochemicals Limited,IGPL,
IIFL Holdings Limited,IIFL,IIFL
Industrial Investment Trust Limited,IITL,
IL&FS Engineering and Construction Company Limited,IL&FSENGG,
IL&FS Transportation Networks Limited,IL&FSTRANS,
Indian Metals & Ferro Alloys Limited,IMFA,
India Motor Parts and Accessories Limited,IMPAL,
Impex Ferro Tech Limited,IMPEXFERRO,
Indbank Merchant Banking Services Limited,INDBANK,
The Indian Hotels Company Limited,INDHOTEL,
The India Cements Limited,INDIACEM,
India Glycols Limited,INDIAGLYCO,
Indian Bank,INDIANB,
Indian Card Clothing Company Limited,INDIANCARD,
Indian Hume Pipe Company Limited,INDIANHUME,
InterGlobe Aviation Limited,INDIGO,
IMP Powers Limited,INDLMETER,
India Nippon Electricals Limited,INDNIPPON,
Indoco Remedies Limited,INDOCO,
Indo Rama Synthetics (India) Limited,INDORAMA,
Indosolar Limited,INDOSOLAR,
Indo Tech Transformers Limited,INDOTECH,
Indo Thai Securities Limited,INDOTHAI,
Indowind Energy Limited,INDOWIND,
Indraprastha Medical Corporation Limited,INDRAMEDCO,
Ind-Swift Laboratories Limited,INDSWFTLAB,
Ind-Swift Limited,INDSWFTLTD,
Indian Terrain Fashions Limited,INDTERRAIN,
IndusInd Bank Limited,INDUSINDBK,
INEOS Styrolution India Limited,INEOSSTYRO,
Infibeam Incorporation Limited,INFIBEAM,
Infinite Computer Solutions (India) Limited,INFINITE,
INFOMEDIA PRESS LIMITED,INFOMEDIA,
Bharti Infratel Limited,INFRATEL,
Infosys Limited,INFY,
Ingersoll Rand (India) Limited,INGERRAND,
INOX Leisure Limited,INOXLEISUR,
Inox Wind Limited,INOXWIND,
Insecticides (India) Limited,INSECTICID,
Integra Garments and Textiles Limited,INTEGRA,
Intellect Design Arena Limited,INTELLECT,
Inventure Growth & Securities Limited,INVENTURE,
Indian Overseas Bank,IOB,
Indian Oil Corporation Limited,IOC,
IOL Chemicals and Pharmaceuticals Limited,IOLCP,
International Paper APPM Limited,IPAPPM,IPAPPM
IPCA Laboratories Limited,IPCALAB,
IRB Infrastructure Developers Limited,IRB,
Intrasoft Technologies Limited,ISFT,
ISMT Limited,ISMTLTD,
ITC Limited,ITC,
ITD Cementation India Limited,ITDCEM,
ITI Limited,ITI,
IL&FS Investment Managers Limited,IVC,
IVP Limited,IVP,
IVRCL Limited,IVRCLINFRA,
IZMO Limited,IZMO,
The Jammu & Kashmir Bank Limited,J&KBANK,
Jagran Prakashan Limited,JAGRAN,
Jagsonpal Pharmaceuticals Limited,JAGSNPHARM,
Jai Balaji Industries Limited,JAIBALAJI,
Jai Corp Limited,JAICORPLTD,
Jaihind Projects Limited,JAIHINDPRO,
Jain Studios Limited,JAINSTUDIO,
Jamna Auto Industries Limited,JAMNAAUTO,
Jayant Agro Organics Limited,JAYAGROGN,
Jay Bharat Maruti Limited,JAYBARMARU,
Jayaswal Neco Industries Limited,JAYNECOIND,
Jayshree Tea & Industries Limited,JAYSREETEA,
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,
JBF Industries Limited,JBFIND,
JBM Auto Limited,JBMA,
JCT Electronics Limited,JCTEL,
Jenson & Nicholson (India) Limited,JENSONICOL,
Jet Airways (India) Limited,JETAIRWAYS,
